WormBase Gene ID
WBGene00001444
WBGene00003756
WBGene00020854
WBGene00011392
WBGene00006843
WBGene00001172
WBGene00017671
WBGene00001189
WBGene00001385
WBGene00001452
WBGene00001502
WBGene00011289
WBGene00001168
WBGene00004430
WBGene00004477
WBGene00000552
WBGene00001457
WBGene00001449
WBGene00019160
WBGene00004408
WBGene00044686
WBGene00000066
WBGene00000277
WBGene00001462
WBGene00004417
WBGene00003749
WBGene00004470
WBGene00004425
WBGene00004476
WBGene00004436
WBGene00001386
WBGene00004473
WBGene00003752
WBGene00006537
WBGene00000472
WBGene00022144
WBGene00006439
WBGene00003175
WBGene00004429
WBGene00020317
WBGene00001971
WBGene00002005
WBGene00015354
WBGene00000149
WBGene00004428
WBGene00002048
WBGene00004487
WBGene00004413
WBGene00004475
WBGene00004409
WBGene00004414
WBGene00004472
WBGene00003751
WBGene00021350
WBGene00003759
WBGene00006528
WBGene00006725
WBGene00013882
WBGene00004415
WBGene00004495
WBGene00009562
WBGene00000915
WBGene00004427
WBGene00011474
WBGene00004432
WBGene00020229
WBGene00004418
WBGene00009119
WBGene00018519
WBGene00003934
WBGene00003747
WBGene00004364
WBGene00004924
WBGene00012759
WBGene00003370
WBGene00004478
WBGene00004450
WBGene00004484
WBGene00002190
WBGene00004493
WBGene00002264
WBGene00000403
WBGene00004441
WBGene00003744
WBGene00004481
WBGene00004424
WBGene00001461
WBGene00004897
WBGene00004474
WBGene00006728
WBGene00011428
WBGene00001137
WBGene00022271
WBGene00004479
WBGene00004471
WBGene00001679
WBGene00000920
WBGene00001648
WBGene00004499
WBGene00012853
WBGene00010556
WBGene00004456
WBGene00004494
WBGene00022748
WBGene00004446
WBGene00001446
WBGene00011884
WBGene00004482
WBGene00003564
WBGene00019324
WBGene00004452
WBGene00004426
WBGene00015514
WBGene00015687
WBGene00004431
WBGene00004420
WBGene00004449
WBGene00003753
WBGene00004423
WBGene00004486
WBGene00004416
WBGene00022336
WBGene00004357
WBGene00004454
WBGene00001169
WBGene00004435
WBGene00004469
